Date,Open,High,Low,Close,Adj Close,Volume
2019-11-21,44.889999,45.090000,44.250000,45.000000,44.966553,10712400
2019-11-22,44.700001,45.689999,44.560001,45.490002,45.456192,11996000
2019-11-25,45.500000,45.509998,44.299999,44.299999,44.267071,9077000
2019-11-26,44.200001,44.290001,42.509998,43.040001,43.008011,17986100
2019-11-27,43.450001,45.599998,43.200001,45.599998,45.566105,16283500
2019-11-28,45.330002,46.049999,44.830002,45.599998,45.566105,12047500
2019-11-29,45.799999,45.910000,45.029999,45.029999,44.996529,11377600
2019-12-02,45.450001,45.650002,44.520000,44.919998,44.886612,9853300
2019-12-03,45.189999,45.209999,44.000000,44.590000,44.556858,8611400
2019-12-04,44.700001,45.750000,44.000000,44.070000,44.037243,14590900
2019-12-05,44.279999,45.189999,44.070000,44.889999,44.856632,9759600
2019-12-06,45.020000,45.590000,44.799999,45.400002,45.366257,7553200
2019-12-09,45.400002,46.500000,45.320000,45.849998,45.815918,12761500
2019-12-10,45.939999,46.599998,45.299999,46.599998,46.565361,8437900
2019-12-11,46.880001,47.900002,46.650002,47.580002,47.544636,11267900
2019-12-12,47.959999,48.369999,47.529999,47.830002,47.794453,9065400
2019-12-13,48.299999,49.660000,48.000000,49.070000,49.033527,13658200
2019-12-16,49.490002,49.880001,48.660000,49.299999,49.263355,10686500
2019-12-17,49.389999,49.389999,47.230000,47.880001,47.844414,12119300
2019-12-18,48.150002,49.000000,47.660000,48.529999,48.493927,10302500
2019-12-19,48.529999,48.730000,47.900002,48.619999,48.583862,7519900
2019-12-20,48.619999,49.029999,47.959999,48.590000,48.553886,9185700
2019-12-23,48.599998,49.250000,48.400002,48.740002,48.703773,6502300
2019-12-26,48.799999,49.099998,48.630001,49.090000,49.053513,4849300
2019-12-27,49.150002,49.410000,48.150002,48.310001,48.274094,4321800
2019-12-30,48.799999,48.990002,48.040001,48.150002,48.114212,4087900
2020-01-02,48.299999,49.279999,47.709999,48.860001,48.860001,5337200
2020-01-03,48.500000,49.330002,48.299999,48.889999,48.889999,6684400
2020-01-06,48.400002,49.310001,47.799999,48.930000,48.930000,6839800
2020-01-07,48.939999,49.200001,48.500000,48.790001,48.790001,6704700
2020-01-08,48.619999,50.349998,48.500000,50.290001,50.290001,10001800
